dataset,tau,width_scale,exact_inverse_cal_scale,effective_width_product,comparison,metric,delta_mean,ci_low,ci_high,significant,nominal_mean,calibrated_mean
ML-20M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.008304032257397957,0.008304032257397957
ML-20M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.04019989002691565,0.04019989002691565
ML-20M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,9.789031859842936,9.789031859842936
ML-20M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
ML-20M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.008304032257397957,0.008304032257397957
ML-20M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.04019989002691565,0.04019989002691565
ML-20M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,9.789031859842936,9.789031859842936
ML-20M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.95,0.95
ML-20M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.0019855628506342507,0.0019855628506342507
ML-20M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.0401585600996783,0.0401585600996783
ML-20M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,9.785577394008637,9.785577394008637
ML-20M,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.95,0.95
