dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,proxy_gap_vs_quota_u_mean_std
ML-20M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.9002,0.08233333333333333,0.08233333333333333,0.040199890026915645,0.09586666666666666,0.008304032257397955,0.6130599682365855,9.789031859842936,0.02521477804183962,0.0,0.00011547005383792945,0.00011547005383792945,7.285349261285036e-05,0.00011547005383792945,4.958240482527924e-05,0.00016099109687861226,3.0355671385119026e-05,2.4009057138993576e-05
ML-20M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.9002,0.08233333333333333,0.08233333333333333,0.040199890026915645,0.09586666666666666,0.008304032257397955,0.6130599682365855,9.789031859842936,0.008313711555799111,0.0,0.00011547005383792945,0.00011547005383792945,7.285349261285036e-05,0.00011547005383792945,4.958240482527924e-05,0.00016099109687861226,3.0355671385119026e-05,5.29878430787866e-05
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.9499999999999998,0.08246666666666667,0.08246666666666667,0.040158560099678296,0.046933333333333334,0.0019855628506342507,0.603825522899131,9.785577394008635,0.03139157781600943,0.0,0.00011547005383792646,0.00011547005383792646,7.285349261284685e-05,0.00011547005383792445,8.039617516257834e-05,0.00011096453394418965,5.6915893629088106e-05,9.016722265418657e-05
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.9499999999999998,0.08246666666666667,0.08246666666666667,0.040158560099678296,0.046933333333333334,0.0019855628506342507,0.603825522899131,9.785577394008635,0.021797633075713918,0.0,0.00011547005383792646,0.00011547005383792646,7.285349261284685e-05,0.00011547005383792445,8.039617516257834e-05,0.00011096453394418965,5.6915893629088106e-05,9.796312699955407e-05
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,0.9499999999999998,0.08246666666666667,0.08246666666666667,0.040158560099678296,0.046933333333333334,0.0019855628506342507,0.603825522899131,9.785577394008635,-0.00488085240523084,0.0,0.00011547005383792646,0.00011547005383792646,7.285349261284685e-05,0.00011547005383792445,8.039617516257834e-05,0.00011096453394418965,5.6915893629088106e-05,0.00015570398158500122
ML-20M,QuotaGate-U,0.9,10,0.8,0.8000000000000002,0.081,0.081,0.03972002917158429,0.1934,0.051891809295018486,0.6641275161062677,9.817863362598418,0.0,0.0,0.0,0.0,1.5118465693877115e-05,0.0,0.00015028567481585912,0.0001502856748158426,7.077850823687834e-05,0.0
ML-20M,QuotaGate-U,0.9,10,1.0,0.9002,0.08213333333333334,0.08213333333333334,0.04007631443227493,0.09666666666666668,0.04120613532463708,0.6468567107712229,9.814246637884777,0.0,0.0,0.00011547005383792146,0.00011547005383792146,7.285349261284586e-05,0.00011547005383792045,0.00012295101867624647,0.0002347627719138778,1.636542148813119e-05,0.0
ML-20M,QuotaGate-U,0.9,10,1.2,0.9032,0.08246666666666667,0.08246666666666667,0.04030153011532295,0.09413333333333333,0.03890121004263559,0.6127769835149248,9.797345571398735,0.0,0.00019999999999997797,0.00011547005383792945,0.00011547005383792945,7.285349261284335e-05,0.0003055050463303958,6.288011068894768e-05,0.00017767795104349743,4.787044603364593e-05,0.0
ML-20M,QuotaGate-U,0.95,10,0.8,0.8008666666666667,0.0814,0.0814,0.03983565510211145,0.19233333333333333,0.04717002607186633,0.658964148282508,9.816968971824645,0.0,0.00011547005383798454,0.0,0.0,1.5118465693878616e-05,0.00011547005383791243,0.0002009716279171223,0.0002165018054153293,0.00012064751998113058,0.0
ML-20M,QuotaGate-U,0.95,10,1.0,0.9499999999999998,0.08266666666666667,0.08266666666666667,0.04023745098651804,0.048133333333333334,0.028033843530019115,0.6300186261092623,9.80737502708435,0.0,0.0,0.00011547005383792246,0.00011547005383792246,7.285349261284685e-05,0.00011547005383792445,6.669302597529203e-05,0.00017767981296246368,4.352397665097232e-05,0.0
