dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.0,0.25074742176307396,1.5132606903401513,0.0012228322526924925,0.007379792644999131
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.2,0.37301219475101416,2.2511285953223705,0.0017980556100676858,0.010851265606758354
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,0.25424166538543513,1.534348450601101,0.0003247390423624688,0.001959800120657644
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.25246528300588644,1.5236279829405248,0.003328029521650062,0.020084658163158235
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.2536202723546701,1.530598343660434,0.0017551053319934508,0.010592060678580484
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.2532468783342272,1.5283449107470612,0.0024313701440521343,0.014673318819354662
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.2515055747171342,1.5178361434179048,0.004680845657675872,0.028248903544073844
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,0.2521165717085548,1.5215235102611284,0.0011430030056978776,0.006898023139386709
ML-1M,QuotaGate-U,0.9,10,0.8,0.12218525321489045,0.7373880031518638,0.0032840213185857323,0.019819068657664918
ML-1M,QuotaGate-U,0.9,10,1.0,0.21386374509822628,1.2906677016677957,0.0009436220243945566,0.005694758917221075
ML-1M,QuotaGate-U,0.9,10,1.2,0.3115453526122535,1.88017620301495,0.001561916229725445,0.009426164446393223
ML-1M,QuotaGate-U,0.95,10,0.8,0.12094432681498525,0.729899012328436,0.0019454413364597342,0.011740738465534514
ML-1M,QuotaGate-U,0.95,10,1.0,0.21216931730484112,1.2804418299347162,0.00287184364043145,0.01733157637000375
ML-1M,QuotaGate-U,0.95,10,1.2,0.3104716999257213,1.8736967090517282,0.0014682957626225084,0.008861164927426767
ML-20M,AdaptivePenalty,0.9,10,0.8,0.18161787927771608,0.9080893963885804,0.002174866256038837,0.010874331280194207
