dataset,challenger,scope,comparator,metric,delta_mean,ci_low,ci_high
ML-20M,OC-Quota,overall,QuotaGateV6,compliant,0.0,-0.009609999999999999,0.0112
ML-20M,OC-Quota,overall,QuotaGateV6,hit,0.0,-0.0012,0.0016
ML-20M,OC-Quota,overall,QuotaGateV6,ndcg,-2.6103560735694973e-06,-0.0005556081286112855,0.0005610420314352565
ML-20M,OC-Quota,highrisk,QuotaGateV6,bad_exposure,-0.004,-0.055,0.044024999999999974
ML-20M,OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.1656534791231155,-0.1867966288653016,-0.14541665886342528
ML-20M,OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.1687942027449608,-0.1941820005118847,-0.14487188666909934
ML-20M,OC-Quota,highrisk,QuotaGateV6,compliant,0.0,-0.052,0.051
ML-20M,OC-Quota,highrisk,QuotaGateV6,hit,0.0,-0.007,0.007
ML-20M,OC-Quota,highrisk,QuotaGateV6,ndcg,-1.3051780367847322e-05,-0.002746411095208871,0.002720498080199362
ML-20M,Guarded-OC-Quota,overall,Penalty,bad_exposure,-0.0008,-0.007,0.0050049999999999956
ML-20M,Guarded-OC-Quota,overall,Penalty,weighted_bad_exposure,0.010596338040828705,0.00843876571160555,0.013119937090337276
ML-20M,Guarded-OC-Quota,overall,Penalty,risk_weighted_miss,0.0595672617867589,0.05628090738002211,0.06345058362558484
ML-20M,Guarded-OC-Quota,overall,Penalty,compliant,0.0002,-0.0056,0.006
ML-20M,Guarded-OC-Quota,overall,Penalty,hit,-0.001,-0.0034,0.0016
ML-20M,Guarded-OC-Quota,overall,Penalty,ndcg,8.432166031002253e-05,-0.0008991009590743992,0.001126936736717109
ML-20M,Guarded-OC-Quota,highrisk,Penalty,bad_exposure,-0.004,-0.036024999999999995,0.028
ML-20M,Guarded-OC-Quota,highrisk,Penalty,weighted_bad_exposure,0.05298169020414352,0.04263969642221928,0.06637595961421727
ML-20M,Guarded-OC-Quota,highrisk,Penalty,risk_weighted_miss,0.08963584625720977,0.07576457598954439,0.10418141976892949
ML-20M,Guarded-OC-Quota,highrisk,Penalty,compliant,0.001,-0.03,0.03407499999999993
ML-20M,Guarded-OC-Quota,highrisk,Penalty,hit,0.001,-0.005,0.007
ML-20M,Guarded-OC-Quota,highrisk,Penalty,ndcg,1.2249013215932803e-05,-0.002185854642267153,0.002074615972166816
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,bad_exposure,-0.0014,-0.008,0.0046
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.012021648910045625,-0.014530998299360274,-0.009788282804429532
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.011744349002838135,-0.01458694452404976,-0.00897429965376854
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,compliant,0.0004,-0.005605,0.0072
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,hit,0.0002,-0.0008049999999999997,0.0012
ML-20M,Guarded-OC-Quota,overall,Primal-Dual,ndcg,7.246141088996498e-05,-0.00027286943035553026,0.00041219939504078456
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,bad_exposure,-0.007,-0.039,0.023
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.060108244550228125,-0.07117411086946723,-0.050273696572780614
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.058721745014190675,-0.0738119106516242,-0.045725905585289
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,compliant,0.002,-0.030024999999999996,0.036
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,hit,0.001,-0.004,0.006024999999999977
ML-20M,Guarded-OC-Quota,highrisk,Primal-Dual,ndcg,0.00036230705444982494,-0.0012527154477247164,0.0021906732968964243
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,bad_exposure,-0.0006,-0.0074,0.0058
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.011833255550861357,-0.014280198940277098,-0.009532208859205245
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.011514250695705414,-0.014426831405460834,-0.008591757817566395
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,compliant,0.0,-0.0064,0.007
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,hit,0.0002,-0.0008,0.001
ML-20M,Guarded-OC-Quota,overall,QuotaGateV6,ndcg,4.734998723233587e-05,-0.00023542752697103768,0.0003160488243412036
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,bad_exposure,-0.003,-0.036024999999999995,0.03
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.05916627775430679,-0.07146826156556607,-0.04881641878962518
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.05757125347852707,-0.07218049063682556,-0.04372673703283071
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,compliant,0.0,-0.033,0.035
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,hit,0.001,-0.003,0.006
ML-20M,Guarded-OC-Quota,highrisk,QuotaGateV6,ndcg,0.00023674993616167934,-0.0009611156693022239,0.0018520170639331399
