dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,0.43686347029209216,0.43367909815311556,3.75,grid,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.08664034905464367,0.04163869181671377,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.9626,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.08560149594847288,0.04173715913267187,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.9626,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.08539372532723873,0.04167709995413086,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.9626,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.08360858794384805,0.04100821410179851,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9688,0.0,-0.003184372138976599,,,,,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.0814,0.039852038272058875,0.08402146985962015,0.041135464772975715,0.9632,0.6668743387937546,0.962961882352829,9.652047931718826,0.9688,0.16585851998329204,0.16267414784431544,,,,,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.0856729975227085,0.04167816551265346,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9688,0.03410274591445983,0.030918373775483232,,,,,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.087943848059455,0.042891102909421885,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9688,0.43686347029209216,0.43367909815311556,3.75,grid,,,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.08608587943848059,0.04137221794257708,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.9688,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.08505367464905036,0.041470055100237345,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.9688,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,10000,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.08484723369116433,0.04141038028060112,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.9688,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.081,0.039728757821822384,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,1.0,0.0,-0.003184372138976599,,,,,,
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.0814,0.039852038272058875,0.0814,0.039852038272058875,1.0,0.6539641045331955,0.9628720581531525,9.5739324944973,1.0,0.24397395720481896,0.24078958506584236,,,,,,
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.083,0.040377806748658665,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,1.0,0.03410274591445983,0.030918373775483232,,,,,,
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.0852,0.04155290049864792,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,1.0,0.43686347029209216,0.43367909815311556,3.75,grid,,,,
