dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-20M,17,quota,0.9965922832489014,0.901,0.099,4.681389331817627,5.665054321289063,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965610504150392,-3.123283386230469e-05,0.0,226.0,,0.9965922832489014,,,,
ML-20M,18,quota,0.99658203125,0.901,0.099,4.678276538848877,5.668126583099365,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965642094612122,-1.7821788787841797e-05,0.0,226.0,,0.99658203125,,,,
ML-20M,19,quota,0.9964784979820251,0.901,0.099,4.676957130432129,5.66474199295044,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966086149215698,0.0001301169395446,0.0,223.0,,0.9964784979820251,,,,
ML-20M,20,quota,0.9966047406196594,0.901,0.099,4.670263767242432,5.661238670349121,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.996618151664734,1.341104507446289e-05,0.0,228.0,,0.9966047406196594,,,,
ML-20M,21,quota,0.996559202671051,0.902,0.098,4.670825004577637,5.667566776275635,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966233372688292,6.413459777832031e-05,1.0,227.0,,0.996559202671051,,,,
ML-20M,22,quota,0.9966118335723876,0.902,0.098,4.66841983795166,5.674874305725098,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966055154800416,-6.318092346191406e-06,1.0,222.0,,0.9966118335723876,,,,
ML-20M,23,quota,0.9966108202934264,0.901,0.099,4.661594867706299,5.674752235412598,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966078996658324,-2.9206275939941406e-06,0.0,227.0,,0.9966108202934264,,,,
ML-20M,24,quota,0.9965287446975708,0.902,0.098,4.65892219543457,5.674874305725098,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965871572494508,5.841255187988281e-05,1.0,230.0,,0.9965287446975708,,,,
ML-20M,25,quota,0.9965808987617492,0.901,0.099,4.653887748718262,5.673671245574951,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966336488723756,5.27501106262207e-05,0.0,230.0,,0.9965808987617492,,,,
ML-20M,26,quota,0.996561884880066,0.901,0.099,4.653144359588623,5.678421974182129,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966102242469788,4.83393669128418e-05,0.0,233.0,,0.996561884880066,,,,
ML-20M,27,quota,0.9966352581977844,0.901,0.099,4.653834819793701,5.678134441375732,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966158270835876,-1.9431114196777344e-05,0.0,233.0,,0.9966352581977844,,,,
ML-20M,28,quota,0.9966365694999696,0.902,0.098,4.651041030883789,5.678187847137451,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965906143188475,-4.595518112182617e-05,1.0,234.0,,0.9966365694999696,,,,
