dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
ML-1M,24,Penalty,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.547312677399185,0.04083606625391489,0.06611570247933884,0.04055887758090747,1.3155293730664845,2.44022536277771,0.0743801652892562,0.022477624041975043,1.2554890350861982
ML-1M,24,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.588993312898745,-0.0008445692456451326,0.06611570247933884,0.035965580719874865,1.5468822690573605,3.104541778564453,0.10743801652892562,0.0854233930918796,1.470128188448504
ML-1M,24,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.588993312898745,-0.0008445692456451326,0.06611570247933884,0.035965580719874865,1.5468822690573605,3.104541778564453,0.10743801652892562,0.0854233930918796,1.470128188448504
ML-1M,24,OC-Quota,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.566738101076488,0.02141064257661185,0.06611570247933884,0.03571231113205239,1.4890044171455479,2.591607093811035,0.12396694214876033,0.02360890128395775,1.4073178324817626
ML-1M,25,Penalty,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.550117319280451,0.03521801814560099,0.09917355371900827,0.049382069889955395,1.338491277507514,2.5613532066345215,0.10743801652892562,0.044938702622721025,1.2447876292319338
ML-1M,25,Primal-Dual,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.589858551655919,-0.004523214229866568,0.10743801652892562,0.04896540637837165,1.5790164990365998,3.1886274814605713,0.1322314049586777,0.11894023595762648,1.468873391959293
ML-1M,25,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.589858551655919,-0.004523214229866568,0.10743801652892562,0.04896540637837165,1.5790164990365998,3.1886274814605713,0.1322314049586777,0.11894023595762648,1.468873391959293
ML-1M,25,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.552288110591164,0.03304722683488848,0.10743801652892562,0.04896540637837165,1.4694992330941288,2.4559130668640137,0.08264462809917356,0.01692789842274564,1.3593561260168217
ML-1M,26,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.44711654442401,0.03583550650226286,0.08264462809917356,0.03321697911582952,1.338233767708471,2.9580283164978027,0.11570247933884298,0.06288552205424663,1.2469953867522152
ML-1M,26,Primal-Dual,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.48546603100359,-0.0025139800773175125,0.06611570247933884,0.026090357331391336,1.5501404126320988,3.395418882369995,0.11570247933884298,0.134970144003876,1.4771309687086374
ML-1M,26,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.487359460720347,-0.004407409794074724,0.06611570247933884,0.026090357331391336,1.5605365680761574,3.395418882369995,0.1322314049586777,0.14282938941451145,1.487527124152696
ML-1M,26,OC-Quota,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.430811192378524,0.05214085854774808,0.0743801652892562,0.028831478123048364,1.4447556194687678,2.603504180908203,0.11570247933884298,0.029350932176448106,1.348162241218504
ML-1M,27,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.499878867598605,0.03319689064971598,0.09917355371900827,0.04171145070067353,1.3564241011280658,2.7173092365264893,0.12396694214876033,0.06592038446221471,1.2683929882266305
ML-1M,27,Primal-Dual,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.535933005908303,-0.002857247659981965,0.09090909090909091,0.03716457636830199,1.5731928395338295,3.25848650932312,0.11570247933884298,0.1362221981868271,1.4881506377507832
ML-1M,27,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.536998291646153,-0.003922533397831884,0.09090909090909091,0.03716457636830199,1.5769383816187046,3.25848650932312,0.12396694214876033,0.1387879434695914,1.4918961798356585
ML-1M,27,OC-Quota,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.474572544255533,0.058503213992787906,0.09090909090909091,0.03716457636830199,1.4373940286064937,2.4928009510040283,0.06611570247933884,0.01305751406456814,1.3523518268234473
