dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
Amazon-VideoGames,41,OC-Quota,0.9,1.4568411111831665,17286,100,0.87,0.13,5.097531526088715,0.046801178455352144,0.02,0.009199945798893454,0.8051066461205483,1.651132422685623,0.13,0.030040560960769652,0.797864825129509
Amazon-VideoGames,42,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.553713746070862,0.0539664185047144,0.03,0.017430599943425638,0.7530682270228862,1.7050292015075683,0.1,0.03400532126426697,0.7305501468479634
Amazon-VideoGames,42,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,5.614343963861465,-0.006663799285888672,0.04,0.02053519473901208,0.943976436406374,2.371545052528381,0.11,0.12420565962791442,0.9048239530622959
Amazon-VideoGames,42,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.87,0.13,5.615593544244766,-0.007913379669189702,0.04,0.02053519473901208,0.9470569582283497,2.371545052528381,0.12,0.1256271481513977,0.9079044748842716
Amazon-VideoGames,42,OC-Quota,0.9,1.4568411111831665,17286,100,0.87,0.13,5.561812063455582,0.04586810111999462,0.04,0.02053519473901208,0.8576882047951222,1.9196489095687865,0.12,0.03829970955848694,0.818535721451044
Amazon-VideoGames,43,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.938730309009552,0.047544889450073846,0.05,0.02404635368040541,0.6957482370734215,1.5035426020622251,0.06,0.03499336242675781,0.6623358815908432
Amazon-VideoGames,43,Primal-Dual,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.984112703800202,0.0021624946594238637,0.04,0.023188125564699805,0.8408482263982296,2.459702849388122,0.07,0.08822765231132507,0.8202013425529003
Amazon-VideoGames,43,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.985271399021149,0.0010037994384770599,0.04,0.023188125564699805,0.8468955551087857,2.459702849388122,0.08,0.09402584552764892,0.8262486712634564
Amazon-VideoGames,43,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.9276176047325135,0.0586575937271121,0.04,0.023188125564699805,0.7789780317246914,1.701526379585266,0.11,0.026941002607345582,0.7583311478793621
Amazon-VideoGames,44,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.584126868247986,0.05233344316482569,0.07,0.031108422306901598,0.6275321328639984,1.5295115947723383,0.06,0.03564665913581848,0.6022755312919617
Amazon-VideoGames,44,Primal-Dual,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.636046969890595,0.0004133415222167258,0.07,0.027489038265550998,0.7667384032905101,1.9985692322254178,0.09,0.08874269485473633,0.7349561421573162
Amazon-VideoGames,44,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.636460311412812,0.0,0.07,0.027489038265550998,0.7699535100162029,1.9985692322254178,0.09,0.09332322716712951,0.738171248883009
Amazon-VideoGames,44,OC-Quota,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.582971084117889,0.05348922729492234,0.07,0.027489038265550998,0.7010627798736095,1.545084393024444,0.07,0.023026632070541384,0.6692805187404156
Amazon-VideoGames,45,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.2609502375125885,0.04981983542442325,0.09,0.03819939622094613,0.7018026255816221,1.8886236369609832,0.1,0.05771987199783325,0.6387761404365301
Amazon-VideoGames,45,Primal-Dual,0.9,1.4568411111831665,17286,100,0.86,0.14,5.326322593688965,-0.015552520751953125,0.07,0.029421110755012872,0.893867879062891,2.439255702495574,0.13,0.13115432500839233,0.8476012033224106
Amazon-VideoGames,45,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.86,0.14,5.326322593688965,-0.015552520751953125,0.07,0.029421110755012872,0.893867879062891,2.439255702495574,0.13,0.13115432500839233,0.8476012033224106
Amazon-VideoGames,45,OC-Quota,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,5.266718611717224,0.04405146121978731,0.07,0.02828963882735829,0.8317033185064793,2.0056826472282405,0.14,0.06887894034385682,0.7827060645818711
Amazon-VideoGames,46,Penalty,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,5.307904020547867,0.053356533050537,0.02,0.016309297535714574,0.6276367038488389,1.2794124782085414,0.04,0.026847392320632935,0.615079119503498
Amazon-VideoGames,46,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.36053237080574,0.0007281827926641782,0.04,0.01866389210246532,0.7989898642897606,1.991282945871353,0.08,0.08748024344444275,0.7694505381584168
Amazon-VideoGames,46,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.88,0.12,5.363339878320694,-0.00207932472229011,0.04,0.01866389210246532,0.8188689920306206,2.0423042297363274,0.12,0.10052975296974181,0.7893296658992768
Amazon-VideoGames,46,OC-Quota,0.9,1.4568411111831665,17286,100,0.88,0.12,5.324901589155197,0.036358964443206965,0.04,0.01866389210246532,0.7762175640463829,1.842064076662063,0.12,0.05738721489906311,0.7466782379150391
Amazon-VideoGames,47,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.420354459285736,0.06292288303375226,0.03,0.011045297031036166,0.6946586656570435,1.560455417633056,0.06,0.03489569902420044,0.6853183260560036
Amazon-VideoGames,47,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.482557785511017,0.0007195568084714665,0.05,0.017924125060021393,0.8786016401648521,1.9941038429737088,0.08,0.07654846072196961,0.8490334369242192
Amazon-VideoGames,47,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.88,0.12,5.48422611951828,-0.0009487771987917171,0.05,0.017924125060021393,0.8863683423399925,1.9941038429737088,0.12,0.07861527442932129,0.8568001390993595
Amazon-VideoGames,47,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.45097615480423,0.03230118751525879,0.05,0.017924125060021393,0.8416594263911247,1.5801597237586966,0.11,0.03611726522445679,0.8120912231504918
Amazon-VideoGames,48,Penalty,0.9,1.4568411111831665,17286,100,0.83,0.17000000000000004,5.563457814455032,0.050297099351883645,0.03,0.014484591188793923,0.7717230181396008,2.224785053730011,0.17,0.09626569867134094,0.7631496314704418
Amazon-VideoGames,48,Primal-Dual,0.9,1.4568411111831665,17286,100,0.83,0.17000000000000004,5.649832668304444,-0.03607775449752815,0.03,0.014484591188793923,1.0345092153549194,3.427229058742523,0.17,0.26802305459976195,1.0255770760774612
Amazon-VideoGames,48,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.78,0.21999999999999997,5.652839832305908,-0.039084918498992316,0.03,0.014484591188793923,1.0477038514614105,3.427229058742523,0.22,0.2761475741863251,1.0387717121839524
Amazon-VideoGames,48,OC-Quota,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,5.578474769592285,0.03528014421463066,0.03,0.014484591188793923,0.9215463960170746,2.376616084575653,0.16,0.15415061831474305,0.9126142567396164
Amazon-VideoGames,49,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.554207413196564,0.052196984291076554,0.01,0.003333333333333333,0.7625733378529549,1.812030363082885,0.11,0.06783396720886231,0.7578835323452949
Amazon-VideoGames,49,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.612952754497528,-0.006548357009887873,0.01,0.003333333333333333,0.9330406461656093,2.736419343948364,0.11,0.14690458416938781,0.9271071337163448
Amazon-VideoGames,49,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.81,0.18999999999999995,5.621801183223725,-0.015396785736084162,0.01,0.003333333333333333,0.961301194280386,2.736419343948364,0.19,0.16814658761024476,0.9553676818311214
Amazon-VideoGames,49,OC-Quota,0.9,1.4568411111831665,17286,100,0.82,0.18000000000000005,5.597931287288666,0.008473110198974787,0.01,0.003333333333333333,0.9310166583955288,2.541469526290893,0.18,0.1384707808494568,0.9250831459462643
ML-1M,0,Penalty,0.9,2.347123050689697,3533,121,0.9421487603305785,0.05785123966942152,10.232937174395095,0.03675336286056208,0.09917355371900827,0.05019636530610141,1.2442798811542102,2.371567964553833,0.05785123966942149,0.019387615219620638,1.148865631542915
ML-1M,0,Primal-Dual,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.26790269741342,0.001787839842236849,0.09917355371900827,0.04764168073248469,1.4499452397350436,2.8989524841308594,0.0743801652892562,0.06338413214880573,1.326439628423738
ML-1M,0,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.26618792005807,0.0035026171975882647,0.09917355371900827,0.04764168073248469,1.443405098905248,2.8845202922821045,0.06611570247933884,0.05720405184532986,1.3198994875939425
ML-1M,0,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.257566199814978,0.012124337440679867,0.09917355371900827,0.04764168073248469,1.4206038730696213,2.5634663105010986,0.0743801652892562,0.025084776523684675,1.29259393973784
ML-1M,1,Penalty,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.505537218298794,0.040328254384442985,0.10743801652892562,0.06334836552919368,1.354335739100275,2.505786180496216,0.09090909090909091,0.04224026380491652,1.238310857006341
ML-1M,1,Primal-Dual,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.545682524846605,0.00018294783663286296,0.12396694214876033,0.06732781254725816,1.5860003114731844,3.1835250854492188,0.09917355371900827,0.08932565027032018,1.4308744708368601
ML-1M,1,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.547103468051626,-0.0012379953683883116,0.12396694214876033,0.06732781254725816,1.5972897543394862,3.1835250854492188,0.11570247933884298,0.098805570602417,1.4421639137031619
ML-1M,1,OC-Quota,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.510307875546543,0.035557597136694596,0.12396694214876033,0.06732781254725816,1.5125914536231806,2.4788818359375,0.10743801652892562,0.01938911942411061,1.3553646211781778
ML-1M,2,Penalty,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.59826224697523,0.037802696228027344,0.06611570247933884,0.02835793417601086,1.3403959768123863,2.6032297611236572,0.10743801652892562,0.03092254528329393,1.2643145144232049
ML-1M,2,Primal-Dual,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.638935692054181,-0.0028707488509240875,0.05785123966942149,0.022005039818638966,1.5850088836486675,3.2149667739868164,0.12396694214876033,0.10113584305629258,1.5061813015336833
ML-1M,2,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8429752066115702,0.15702479338842978,10.642822245920986,-0.006757302717728564,0.05785123966942149,0.022447349520301845,1.605743353401334,3.2149667739868164,0.1487603305785124,0.11179866514915278,1.5214544232965501
ML-1M,2,OC-Quota,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.612386872945738,0.023678070257519224,0.05785123966942149,0.022447349520301845,1.5154630570125973,2.704033613204956,0.09917355371900827,0.0325176534573894,1.4311741269078135
ML-1M,3,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.465391852638938,0.031833349180615755,0.04132231404958678,0.02400525097554166,1.316403741925216,2.4947540760040283,0.12396694214876033,0.030991213380797845,1.2747897252071003
ML-1M,3,Primal-Dual,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.497225201819553,0.0,0.049586776859504134,0.025887677306656108,1.5128293692573043,3.095599889755249,0.09917355371900827,0.08456315048469984,1.4494261145591736
ML-1M,3,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.49816342030675,-0.0009382184871959964,0.049586776859504134,0.025887677306656108,1.5176911851591315,3.095599889755249,0.10743801652892562,0.08815811330621894,1.4542879304610008
ML-1M,3,OC-Quota,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.47404757412997,0.023177627689582536,0.04132231404958678,0.023498711799896706,1.455678517660819,2.5722556114196777,0.09917355371900827,0.026929043147189566,1.4091477320213948
ML-1M,4,Penalty,0.9,2.347123050689697,3533,121,0.9504132231404959,0.04958677685950408,10.360632585099905,0.037200182922616065,0.0743801652892562,0.031077667760098914,1.2742615539180346,2.2837626934051514,0.049586776859504134,0.02454435805643886,1.2170409688279649
ML-1M,4,Primal-Dual,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.395846288066265,0.0019864799562565594,0.06611570247933884,0.033168961734545664,1.4941435153326712,2.839824914932251,0.06611570247933884,0.062226439704579764,1.4319172045908684
ML-1M,4,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9421487603305785,0.05785123966942152,10.394956675442783,0.0028760925797381987,0.06611570247933884,0.033168961734545664,1.4876305778657108,2.839824914932251,0.05785123966942149,0.05950568490777135,1.425404267123908
ML-1M,4,OC-Quota,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.376266321860069,0.021566446162452735,0.06611570247933884,0.033168961734545664,1.4658038209785114,2.671193838119507,0.1322314049586777,0.03346587685514089,1.4035775102367085
ML-1M,5,Penalty,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.559371057620718,0.037160294115052395,0.008264462809917356,0.008264462809917356,1.3102744620693616,2.663156509399414,0.08264462809917356,0.04247585209933195,1.3037265849507544
ML-1M,5,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.597115615182672,-0.0005842634469015451,0.008264462809917356,0.008264462809917356,1.5435860883598485,3.111621618270874,0.10743801652892562,0.10076045438277821,1.5361506631059094
ML-1M,5,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.595818350137758,0.0007130015980116866,0.008264462809917356,0.008264462809917356,1.5380552403690402,3.111621618270874,0.09090909090909091,0.09734752434344332,1.5306198151151011
ML-1M,5,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.567493190450117,0.029038161285653175,0.008264462809917356,0.008264462809917356,1.4602477114555263,2.5932154655456543,0.08264462809917356,0.022852574498200228,1.4528122862015873
ML-1M,6,Penalty,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.493027312696473,0.03031829171929523,0.10743801652892562,0.04567281202071296,1.3752702890841428,2.722870349884033,0.10743801652892562,0.07152039393905767,1.2857598167313031
ML-1M,6,Primal-Dual,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.527333704893254,-0.0039881004774855455,0.08264462809917356,0.03423294011562356,1.5788698721030527,3.344923496246338,0.12396694214876033,0.1450409238988703,1.5043350396570094
ML-1M,6,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.527333704893254,-0.0039881004774855455,0.08264462809917356,0.03423294011562356,1.5788698721030527,3.344923496246338,0.12396694214876033,0.1450409238988703,1.5043350396570094
ML-1M,6,OC-Quota,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.465819362766487,0.05752624164928122,0.08264462809917356,0.03423294011562356,1.443625403090942,2.5126068592071533,0.09917355371900827,0.019515707079044067,1.3690905706448988
ML-1M,7,Penalty,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.509478131601632,0.041375467599916504,0.10743801652892562,0.06034412811190852,1.377736169444628,3.0872700214385986,0.10743801652892562,0.07245732378368536,1.2518642330465237
ML-1M,7,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.552456016382894,-0.0016024171813455723,0.09917355371900827,0.05352390914009289,1.6275598680184893,3.2529964447021484,0.10743801652892562,0.13467294164925567,1.508561329900726
ML-1M,7,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.553678374645138,-0.002824775443588834,0.09917355371900827,0.05352390914009289,1.6327555901255488,3.2529964447021484,0.11570247933884298,0.13846244417931425,1.5137570520077854
ML-1M,7,OC-Quota,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.487887504672216,0.0629660945293331,0.10743801652892562,0.05591655031773324,1.506265239528388,2.4394075870513916,0.08264462809917356,0.013777563394593805,1.365088270222845
ML-1M,8,Penalty,0.9,2.347123050689697,3533,121,0.8677685950413223,0.1322314049586777,10.614782412190083,0.03373722596601958,0.03305785123966942,0.01128477813218004,1.4283573193983599,2.845829963684082,0.1322314049586777,0.07375433307048704,1.408763438216911
ML-1M,8,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.649981683936002,-0.0014620457798990572,0.03305785123966942,0.010526711200179449,1.6569305370169238,3.3211660385131836,0.10743801652892562,0.1346756548920939,1.6329773962497711
ML-1M,8,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.651013654125624,-0.002494015969521257,0.03305785123966942,0.010526711200179449,1.660535579624255,3.3211660385131836,0.11570247933884298,0.13807945133240757,1.6365824388571022
ML-1M,8,OC-Quota,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.597776850392997,0.05074278776310592,0.03305785123966942,0.010526711200179449,1.540068419265353,2.4861905574798584,0.11570247933884298,0.027586946014530413,1.5161152784982004
ML-1M,9,Penalty,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.594993997211299,0.04021055836322773,0.06611570247933884,0.029583926542302012,1.4146791159614058,2.5504541397094727,0.10743801652892562,0.03556119548387764,1.3287337447000929
ML-1M,9,Primal-Dual,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.634112921628086,0.0010916339464408509,0.0743801652892562,0.030223680919742084,1.6512706858560073,3.199380874633789,0.09090909090909091,0.09164978728806678,1.5356339765481712
ML-1M,9,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.635204555574527,0.0,0.0743801652892562,0.030223680919742084,1.654085684167452,3.199380874633789,0.09917355371900827,0.09354609654954645,1.538448974859616
ML-1M,9,OC-Quota,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.600201500348808,0.03500305522571878,0.06611570247933884,0.02761653317771127,1.5865505556922315,2.634956121444702,0.11570247933884298,0.026056680994585538,1.4849816380946104
ML-1M,10,Penalty,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.555469631163541,0.02575177200569634,0.04132231404958678,0.016032458883959967,1.4798184038440059,2.965313196182251,0.14049586776859505,0.09040225005346883,1.4476973804806874
ML-1M,10,Primal-Dual,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.591729964106536,-0.010508560937298128,0.05785123966942149,0.019992930582308287,1.7075842463773143,3.3449437618255615,0.14049586776859505,0.15264240926947478,1.6647446616129442
ML-1M,10,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8347107438016529,0.1652892561983471,10.596215386036015,-0.01499398286677689,0.05785123966942149,0.019992930582308287,1.7313793525715504,3.367443561553955,0.1652892561983471,0.17499611988540523,1.6885397678071803
ML-1M,10,OC-Quota,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.516496591331546,0.06472481183769219,0.05785123966942149,0.019992930582308287,1.5701518790288405,2.6095805168151855,0.09917355371900827,0.02503575529933962,1.5273122942644703
ML-1M,11,Penalty,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.455713575536555,0.03706619562196245,0.05785123966942149,0.03042014161188354,1.3226253328737148,2.68708872795105,0.08264462809917356,0.03902742291284988,1.2383015778931705
ML-1M,11,Primal-Dual,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.490285195594977,0.00249457556354038,0.05785123966942149,0.027002955132983286,1.537278524361366,3.2222914695739746,0.0743801652892562,0.0848781837904749,1.4460159104225063
ML-1M,11,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.491515719200954,0.0012640519575626286,0.05785123966942149,0.027002955132983286,1.546075452704075,3.2222914695739746,0.08264462809917356,0.09208939686294429,1.4548128387652153
ML-1M,11,OC-Quota,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.459277208186379,0.033502562972138605,0.05785123966942149,0.03170810754559988,1.4659020656889135,2.553868293762207,0.09090909090909091,0.02141482455671327,1.3795408845440416
ML-1M,12,Penalty,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.302023138881715,0.03811334578458947,0.08264462809917356,0.03908576572284845,1.2482413878618193,2.635485887527466,0.06611570247933884,0.047283957221291285,1.1669464320683283
ML-1M,12,Primal-Dual,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.335982602489882,0.004153882176423096,0.06611570247933884,0.03630327801195932,1.4543821562912838,3.1644983291625977,0.06611570247933884,0.0914013094153286,1.3896616975630611
ML-1M,12,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.335982602489882,0.004153882176423096,0.06611570247933884,0.03630327801195932,1.4543821562912838,3.1644983291625977,0.06611570247933884,0.0914013094153286,1.3896616975630611
ML-1M,12,OC-Quota,0.9,2.347123050689697,3533,121,0.9421487603305785,0.05785123966942152,10.295510351165268,0.044626133501036946,0.06611570247933884,0.03630327801195932,1.371816357058927,2.3699216842651367,0.05785123966942149,0.012711331469953558,1.3070958983307042
ML-1M,13,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.494545968110897,0.03157673591424626,0.03305785123966942,0.01834864578981715,1.398207581609734,2.683773994445801,0.11570247933884298,0.050136979158259626,1.3548389839485657
ML-1M,13,Primal-Dual,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.52886708708834,-0.00274438306319702,0.03305785123966942,0.01834864578981715,1.619392724692329,3.4243342876434326,0.11570247933884298,0.12431910727634903,1.5760292316024953
ML-1M,13,QuotaGateV6,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.5329221102817,-0.006799406256556395,0.03305785123966942,0.018200972595208847,1.6315973303781068,3.4243342876434326,0.1322314049586777,0.1301155610518022,1.583929097233725
ML-1M,13,OC-Quota,0.9,2.347123050689697,3533,121,0.8512396694214877,0.14876033057851235,10.500704611628509,0.025418092396634506,0.03305785123966942,0.018200972595208847,1.5313778323821785,2.6000607013702393,0.14049586776859505,0.029854551425650112,1.4837095992377967
ML-1M,14,Penalty,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.444433492077284,0.038698168825511914,0.05785123966942149,0.032276389307052324,1.4182079557544929,2.6348509788513184,0.10743801652892562,0.03156426760775985,1.3612367456609553
ML-1M,14,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.484687686951693,-0.0015560260488971522,0.06611570247933884,0.03133093734792139,1.6672347648577257,3.1370770931243896,0.10743801652892562,0.10359031346218646,1.5978239456976742
ML-1M,14,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.484687686951693,-0.0015560260488971522,0.06611570247933884,0.03133093734792139,1.6672347648577257,3.1370770931243896,0.10743801652892562,0.10359031346218646,1.5978239456976742
ML-1M,14,OC-Quota,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.456214022045293,0.02691763885750298,0.06611570247933884,0.03133093734792139,1.5886769444981883,2.5079705715179443,0.12396694214876033,0.023135266028159917,1.5192661253381368
ML-1M,15,Penalty,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.321320785963831,0.037039717366873504,0.11570247933884298,0.05349737091446198,1.2521589430403117,2.4516875743865967,0.09090909090909091,0.026142795026794945,1.137692324139855
ML-1M,15,Primal-Dual,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.355795568671109,0.002564934659595508,0.12396694214876033,0.05510525475229958,1.4654936652538204,2.900665044784546,0.0743801652892562,0.06723462175731817,1.3309252138965386
ML-1M,15,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.354553459104428,0.0038070442262760906,0.12396694214876033,0.05510525475229958,1.4566712044487315,2.8327205181121826,0.06611570247933884,0.05886419193803772,1.3221027530914495
ML-1M,15,OC-Quota,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.337971537566382,0.020388965764322364,0.12396694214876033,0.05510525475229958,1.4174298254911564,2.4516875743865967,0.0743801652892562,0.019922143368681606,1.2828613741338746
ML-1M,16,Penalty,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.488355561721423,0.038164130912338834,0.049586776859504134,0.02725880820829463,1.3204283815277509,2.423686981201172,0.06611570247933884,0.032712101345219895,1.2738721447050079
ML-1M,16,Primal-Dual,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.524130809405618,0.002388883228144678,0.049586776859504134,0.02355926560299784,1.5499163058178484,2.7993643283843994,0.0743801652892562,0.08120779084765223,1.4976648855800472
ML-1M,16,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.522925491175375,0.0035942014583874027,0.049586776859504134,0.02355926560299784,1.5468758305242238,2.7993643283843994,0.06611570247933884,0.07878042883124234,1.4946244102864226
ML-1M,16,OC-Quota,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.498188629623288,0.028331063010474722,0.049586776859504134,0.02355926560299784,1.48994082064668,2.4597930908203125,0.09090909090909091,0.017368662258810258,1.4376894004088787
ML-1M,17,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.83578277619417,0.03837956672857601,0.08264462809917356,0.0488543765258939,1.477598068881626,2.881605625152588,0.11570247933884298,0.060391078507604695,1.3596976027508412
ML-1M,17,Primal-Dual,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.882053848140496,-0.007891505217749284,0.09090909090909091,0.05063827905285202,1.7451528803376126,3.365222454071045,0.12396694214876033,0.1341140506681332,1.5832076220472981
ML-1M,17,QuotaGateV6,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.882053848140496,-0.007891505217749284,0.09090909090909091,0.05063827905285202,1.7451528803376126,3.365222454071045,0.12396694214876033,0.1341140506681332,1.5832076220472981
ML-1M,17,OC-Quota,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.833633115468931,0.04052922745381515,0.09090909090909091,0.05195262146712074,1.6186241207043988,2.5423407554626465,0.10743801652892562,0.02829007314256401,1.4779696001494227
ML-1M,18,Penalty,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.473800840456624,0.03851241513717163,0.08264462809917356,0.03702290863890101,1.324244718906308,2.5261478424072266,0.0743801652892562,0.02258074697384165,1.2167220280682745
ML-1M,18,Primal-Dual,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.509696869810751,0.0026163857830443504,0.08264462809917356,0.03751615124166403,1.52732302310053,2.900873899459839,0.05785123966942149,0.054363788257945675,1.3836671990796554
ML-1M,18,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.508559254575367,0.00375400101842871,0.08264462809917356,0.03751615124166403,1.523209949909163,2.900873899459839,0.049586776859504134,0.05159983043828287,1.3795541258882884
ML-1M,18,OC-Quota,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.489200619626637,0.02311263596715918,0.08264462809917356,0.0385450820959669,1.4844873894837276,2.5288312435150146,0.11570247933884298,0.021726047894186234,1.3565078569837838
