dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,HardBisection,0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid, λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect, λ=0.493",0.0834,0.040081404742768674,0.08664034905464367,0.04163869181671377,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.9626,0.49266815185546875,bisect,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,OracleGate,0.0824,0.040176189381109936,0.08560149594847288,0.04173715913267187,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.9626,,,,0.0,499.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,QuotaGateV6,0.0822,0.04011837641584636,0.08539372532723873,0.04167709995413086,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.9626,,,,,,0.0,0.0
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,HardBisection,0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,"PenaltyGrid, λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,"PenaltyBisect, λ=0.901",0.0848,0.04066418446661674,0.08809474340328277,0.04224411434304668,0.95,0.5617586804509163,0.9631165266036991,9.757891007375717,0.9626,0.9012222290039062,bisect,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,OracleGate,0.083,0.04039470228786145,0.08622480781217536,0.04196416194458908,0.95,0.676797339630127,0.9673156142234958,9.807991453647613,0.9626,,,,0.0,250.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.95,QuotaGateV6,0.0828,0.040321574953660906,0.0860170371909412,0.04188819338630885,0.95,0.6762802101850509,0.9673156142234958,9.807565552520751,0.9626,,,,,,0.0,0.0
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,HardBisection,0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,,,,,,,
