dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup,val_compliance,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-20M,500,20720,0.9630447268486024,0.8,0.9,ConstrainedGreedy,0.082,0.0400254771678496,0.1076680672268907,0.0525544605670294,0.8954,0.6876521700978279,1.1996998190879822,9.794518301010132,0.7616,0.0233881506919857,0.0202037785530091,,,,,,,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.0403778067486586,0.1089810924369747,0.05301707818889,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.7616,0.0341027459144598,0.0309183737754832,,,,,,,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.0415529004986479,0.1118697478991596,0.0545600059068381,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.7616,0.4368634702920921,0.4336790981531155,3.75,grid,,,,,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.0400814047427686,0.1095063025210084,0.052627894882837,0.9,0.6179762585505844,1.0996452093124391,9.796766154646871,0.7616,0.0211402970552452,0.0179559249162686,0.4926681518554687,bisect,,,,,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.0401761893811099,0.1081932773109243,0.0527523495025078,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.7616,0.0031843721389765,0.0,,,0.0,499.0,,,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.0401183764158463,0.1079306722689075,0.052676439621647,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,0.7616,0.0033941648483271,0.0002097927093505,,,,,0.0,0.0,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.0939239332096475,0.046067669088384,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.8624,0.0,-0.0031843721389765,,,,,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,ConstrainedGreedy,0.082,0.0400254771678496,0.0950834879406308,0.0464117314098441,0.9016,0.6855329073429107,1.1814366638660436,9.7828443567276,0.8624,0.0350620949745188,0.0318777228355422,,,,,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.0403778067486586,0.0962430426716141,0.0468202768421366,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.8624,0.0341027459144598,0.0309183737754832,,,,,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.0415529004986479,0.0987940630797773,0.0481828623592856,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.8624,0.4368634702920921,0.4336790981531155,3.75,grid,,,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.0400814047427686,0.0967068645640074,0.0464765824939339,0.9,0.6179762585505844,1.0996452093124391,9.796766154646871,0.8624,0.0211402970552452,0.0179559249162686,0.4926681518554687,bisect,,,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.0401761893811099,0.0955473098330241,0.0465864904697471,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.8624,0.0031843721389765,0.0,,,0.0,499.0,,,,,,,,,,
ML-20M,1000,20720,0.9630447268486024,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.0401183764158463,0.0953153988868274,0.0465194531723635,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,0.8624,0.0033941648483271,0.0002097927093505,,,,,0.0,0.0,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,0.0,-0.0031843721389765,,,,,,,,,,,,,,
