dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,HardBisection,0.083,0.0403778067486586,0.0862248078121753,0.0419466099612078,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,"PenaltyGrid, λ*=3.750",0.0852,0.0415529004986479,0.088510284645751,0.043167359753426,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,"PenaltyBisect, λ=0.000",0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095136522650719,1.312745440006256,9.817906451892853,0.9626,0.0001907348632812,bisect,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,OracleGate,0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8002,0.7094779869079589,1.3130329787731172,9.817906431293489,0.9626,,,,0.0,999.0,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,QuotaGateV6,0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8022,0.7092574970960617,1.3130329787731172,9.817887624835969,0.9626,,,,,,10.0,0.0,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,HardBisection,0.083,0.0403778067486586,0.0862248078121753,0.0419466099612078,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,"PenaltyGrid, λ*=3.750",0.0852,0.0415529004986479,0.088510284645751,0.043167359753426,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,"PenaltyBisect, λ=0.216",0.0824,0.0400640230536417,0.0856014959484728,0.0416206347949737,0.85,0.6647456130638718,1.2027353823184972,9.81311094236374,0.9626,0.2155303955078125,bisect,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,OracleGate,0.0814,0.0398698376467297,0.0845626428423021,0.0414189046818302,0.85,0.7033790529131889,1.3130329787731172,9.817347353172302,0.9626,,,,0.0,750.0,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.85,QuotaGateV6,0.0816,0.0399276506119933,0.0847704134635362,0.0414789638603712,0.85,0.7030134782075882,1.3123590886592866,9.817117375946044,0.9626,,,,,,0.0,0.0,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,HardBisection,0.083,0.0403778067486586,0.0862248078121753,0.0419466099612078,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,"PenaltyGrid, λ*=3.750",0.0852,0.0415529004986479,0.088510284645751,0.043167359753426,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,"PenaltyBisect, λ=0.493",0.0834,0.0400814047427686,0.0866403490546436,0.0416386918167137,0.9,0.6179762585505844,1.0996452093124391,9.796766154646871,0.9626,0.4926681518554687,bisect,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,OracleGate,0.0824,0.0401761893811099,0.0856014959484728,0.0417371591326718,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.9626,,,,0.0,499.0,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.9,QuotaGateV6,0.0822,0.0401183764158463,0.0853937253272387,0.0416770999541308,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,0.9626,,,,,,0.0,0.0,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,HardBisection,0.083,0.0403778067486586,0.0862248078121753,0.0419466099612078,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,"PenaltyGrid, λ*=3.750",0.0852,0.0415529004986479,0.088510284645751,0.043167359753426,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,,,,,,,,
