dataset,method,highrisk_cohort,served_risk,hit,bad_exposure
Amazon-VideoGames,Penalty,0.0,0.731518030166626,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1320953369140625,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.9248602986335754,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.39797210693359375,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6585517525672913,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8140339851379395,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.991305947303772,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5348825454711914,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5321401953697205,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7288177609443665,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.6954069137573242,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.7130007147789001,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5976123213768005,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.494968891143799,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6730648279190063,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.8390758037567139,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.23215387761592865,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0839871168136597,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9910095930099487,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.7656863331794739,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8548121452331543,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9870890974998474,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.849363923072815,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.1534347534179688,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9128370881080627,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3408246040344238,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6108335256576538,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0209771394729614,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9910802841186523,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4940438270568848,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6196692585945129,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5527142882347107,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.26379677653312683,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8369740843772888,1.0,0.0
Amazon-VideoGames,Penalty,0.0,1.196399211883545,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6903331279754639,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.80532306432724,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6420180797576904,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9151331186294556,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5713261961936951,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5923988819122314,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.22909851372241974,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8495297431945801,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9086787700653076,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8197969794273376,1.0,0.0
Amazon-VideoGames,Penalty,0.0,1.368249773979187,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8473353981971741,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5979867577552795,0.0,0.0
