dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
Amazon-VideoGames,WBEThreshold,0.95,10,1.0,0.95,0.05700000000000001,0.05700000000000001,0.02834097771507344,0.048,0.005313613452911377,0.7687453193050623,5.931842071862221,0.07829764159202579,0.0,0.0,0.0,0.0,0.0,0.000199107145019597,0.00019315555518141752,0.00021505744651085414,0.00014987984202188313
ML-1M,AdaptivePenalty,0.8,10,1.0,0.8056338028169014,0.07108533554266777,0.07108533554266777,0.03458764591967902,0.1892294946147473,0.12031060255946655,1.5189568349284481,10.545739204861848,0.00021222660535613613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8157144759020718e-05
ML-1M,AdaptivePenalty,0.9,5,1.0,0.899917149958575,0.042584921292460644,0.042584921292460644,0.026343960469506426,0.09908864954432477,0.025981120664222045,0.639184012823887,5.472849615250329,0.03395505910682193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96033521130676e-05
ML-1M,AdaptivePenalty,0.9,10,0.8,0.9000828500414251,0.07224523612261806,0.07224523612261806,0.035340443415544404,0.09776304888152444,0.04651258483640203,1.2805127873794542,10.501508434409432,0.04444175369401684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7371427574949954e-05
ML-1M,AdaptivePenalty,0.9,10,1.0,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038407914541730294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171146e-05
ML-1M,AdaptivePenalty,0.9,10,1.2,0.899917149958575,0.07174813587406793,0.07174813587406793,0.035279866831382116,0.09809444904722453,0.04584949156027149,1.2799636663253287,10.501579492706451,0.01737885224690707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915864117367484e-05
ML-1M,AdaptivePenalty,0.9,20,1.0,0.899917149958575,0.11980115990057996,0.11980115990057996,0.04716321349286502,0.0956089478044739,0.08899924103642855,2.551651587827994,19.922662051136868,0.026017018992147457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.854505041429558e-06
ML-1M,AdaptivePenalty,0.95,10,1.0,0.9499585749792875,0.07091963545981773,0.07091963545981773,0.03535432149123963,0.04954432477216238,0.019085115173580046,1.1412646014394598,10.43924748405703,0.09087904357277984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4566960200411893e-05
ML-1M,Penalty,0.8,10,1.0,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12675703604160113,1.536244996914265,10.545962007280806,-1.057581360264237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8157144759020718e-05
ML-1M,Penalty,0.9,5,1.0,0.9116818558409279,0.04241922120961061,0.04241922120961061,0.02632854776750495,0.08715824357912179,0.021380768466213073,0.6185325721891438,5.4639815393319875,0.04282313502516342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96033521130676e-05
ML-1M,Penalty,0.9,10,0.8,0.9222866611433306,0.07174813587406793,0.07174813587406793,0.035531439755069144,0.07589063794531897,0.032949892161005086,1.22849053833217,10.484480771489052,0.06146941661439733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7371427574949954e-05
ML-1M,Penalty,0.9,10,1.0,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.02027568200845451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171157e-05
ML-1M,Penalty,0.9,10,1.2,0.8927920463960233,0.07191383595691798,0.07191383595691798,0.03546496815155399,0.10455675227837616,0.049580507246837616,1.2994501347557117,10.510287865035872,0.008670479917486063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9158641173674944e-05
ML-1M,Penalty,0.9,20,1.0,0.916487158243579,0.11930405965202981,0.11930405965202981,0.04735392779350359,0.07986743993371996,0.06909813583045335,2.47291686387228,19.906791678004357,0.04188739212465862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85450504142952e-06
ML-1M,Penalty,0.95,10,1.0,0.9461474730737367,0.07174813587406793,0.07174813587406793,0.03564658110984672,0.0531897265948633,0.020982390840683686,1.1621978453730095,10.453533727192346,0.07659280043746505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4566960200411893e-05
ML-1M,Primal-Dual,0.8,10,1.0,0.8137531068765534,0.07075393537696768,0.07075393537696768,0.03434442613669702,0.18127589063794533,0.1250151393466877,1.5327094529604952,10.545869716574757,8.171489244723773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8157144759020718e-05
ML-1M,Primal-Dual,0.9,5,1.0,0.9004142502071251,0.03943661971830986,0.03943661971830986,0.024432815983998796,0.09809444904722453,0.06271829336066827,0.7837478909916195,5.5064386511204555,0.0003660232366954119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96033521130678e-05
ML-1M,Primal-Dual,0.9,10,0.8,0.8001657000828499,0.07058823529411765,0.07058823529411765,0.03424721631953778,0.1948632974316487,0.11836550227452039,1.5278456666581672,10.54518304546707,0.0007671426363792478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7371427574949805e-05
ML-1M,Primal-Dual,0.9,10,1.0,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,2.167361179736815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171169e-05
ML-1M,Primal-Dual,0.9,10,1.2,0.9002485501242751,0.07191383595691798,0.07191383595691798,0.034783663614442115,0.0975973487986744,0.09650462574867939,1.4194664753053736,10.519141101363086,-0.0001827564097279577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9158641173674923e-05
ML-1M,Primal-Dual,0.9,20,1.0,0.9000828500414251,0.11847555923777961,0.11847555923777961,0.04639873212977998,0.09544324772162387,0.14473487893509887,2.781785120268745,19.948605540812064,7.352931695123744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.854505041429707e-06
ML-1M,Primal-Dual,0.95,10,1.0,0.9501242750621375,0.0715824357912179,0.0715824357912179,0.034603634449240646,0.049047224523612265,0.06342101296217065,1.4513775730871326,10.529123848928531,0.001002678701279436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4566960200413126e-05
ML-1M,QuotaGate-RDU,0.8,10,1.0,0.8006959403479701,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19433305716652857,0.12549602214304398,1.5349378405813847,10.545658127864531,0.0002933036026732339,7.410332982602412e-05,0.0,0.0,0.0,7.410332982600434e-05,3.072804899102812e-05,2.7582885685960876e-05,1.4182709748348361e-05,3.2339854507087725e-05
