dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
ML-1M,WBEThreshold,0.9,10,1.0,0.20806762830422945,1.2556881368160249,0.004093137591450883,0.024702085364406035
ML-1M,WBEThreshold,0.9,10,1.2,0.30818974682575134,1.8599251220934092,0.004810986529355833,0.029034303704662496
ML-1M,WBEThreshold,0.9,20,1.0,0.17291899076057252,1.043566109240055,0.005174948110574119,0.031230811847314816
ML-1M,WBEThreshold,0.95,10,1.0,0.2059675583364357,1.2430142145603895,0.004993746323003864,0.03013725905932833
ML-20M,AdaptivePenalty,0.8,10,1.0,0.164791098292917,0.823955491464585,0.0054850712022830326,0.02742535601141515
ML-20M,AdaptivePenalty,0.9,5,1.0,0.1746197321638465,0.8730986608192325,0.006161343543667842,0.030806717718339198
ML-20M,AdaptivePenalty,0.9,10,0.8,0.1757886465638876,0.878943232819438,0.004895238725301235,0.02447619362650618
ML-20M,AdaptivePenalty,0.9,10,1.0,0.17986646447330715,0.8993323223665357,0.005034354222999161,0.025171771114995713
ML-20M,AdaptivePenalty,0.9,10,1.2,0.18050339944660662,0.9025169972330331,0.00495668120486284,0.02478340602431421
ML-20M,AdaptivePenalty,0.9,20,1.0,0.1786582277901471,0.8932911389507353,0.006245573516833723,0.031227867584168675
ML-20M,AdaptivePenalty,0.95,10,1.0,0.17778114080429078,0.8889057040214539,0.002876828561409916,0.014384142807049579
ML-20M,Penalty,0.8,10,1.0,0.1222431436367333,0.6112157181836665,0.006637876075903708,0.03318938037951852
ML-20M,Penalty,0.9,5,1.0,0.12423137119039893,0.6211568559519947,0.004890645571777183,0.02445322785888591
ML-20M,Penalty,0.9,10,0.8,0.12141605898737909,0.6070802949368954,0.004144103944154029,0.02072051972077018
ML-20M,Penalty,0.9,10,1.0,0.12978189811576157,0.6489094905788079,0.005848032888256544,0.029240164441282634
ML-20M,Penalty,0.9,10,1.2,0.1349035974405706,0.6745179872028529,0.008350508331796482,0.04175254165898242
ML-20M,Penalty,0.9,20,1.0,0.12902778323739766,0.6451389161869884,0.003068507925713911,0.015342539628569548
ML-20M,Penalty,0.95,10,1.0,0.12587026696652176,0.6293513348326087,0.002599725945177626,0.012998629725888155
ML-20M,Primal-Dual,0.8,10,1.0,0.5106048160418868,2.553024080209434,0.007790402118801787,0.038952010594009004
ML-20M,Primal-Dual,0.9,5,1.0,0.5668001407571137,2.8340007037855686,0.010913070741463157,0.0545653537073158
ML-20M,Primal-Dual,0.9,10,0.8,0.26810118757188317,1.340505937859416,0.002351242246932651,0.011756211234663234
ML-20M,Primal-Dual,0.9,10,1.0,0.5217146752495319,2.6085733762476595,0.01143215402891792,0.057160770144589625
ML-20M,Primal-Dual,0.9,10,1.2,0.8547864886932075,4.2739324434660375,0.06313660835744271,0.3156830417872136
ML-20M,Primal-Dual,0.9,20,1.0,0.4648899567499757,2.3244497837498783,0.006348934706690755,0.03174467353345388
ML-20M,Primal-Dual,0.95,10,1.0,0.5099666357971728,2.549833178985864,0.008906204933662886,0.04453102466831401
ML-20M,QuotaGate-RDU,0.8,10,1.0,0.5446270963735879,2.7231354818679394,0.008160559529489785,0.04080279764744886
ML-20M,QuotaGate-RDU,0.9,5,1.0,0.6057384673506021,3.0286923367530107,0.01252362230384325,0.06261811151921617
ML-20M,QuotaGate-RDU,0.9,10,0.8,0.27243954095989464,1.3621977047994733,0.006048505528541666,0.030242527642708208
ML-20M,QuotaGate-RDU,0.9,10,1.0,0.5600544953299686,2.8002724766498432,0.015232230632767546,0.07616115316383769
ML-20M,QuotaGate-RDU,0.9,10,1.2,0.9052744758129119,4.52637237906456,0.045471580552694395,0.22735790276347198
