dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean
ML-1M,AdaptivePenalty,0.9,10,1.0,2028,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038409943884824216
ML-1M,Primal-Dual,0.9,10,1.0,2028,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,2.3702954891291483e-05
ML-1M,QuotaGate-U,0.9,10,1.0,2029,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.10019802893896979,1.4956250729781593,10.540783896995361,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2029,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.02304249183541009,1.414845031335666,10.504677846161115,0.03610605083424545
ML-1M,WBEThreshold,0.9,10,1.0,2029,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.021962679900111703,1.4155976256150398,10.504538545395189,0.03624535160017217
ML-1M,Penalty,0.9,10,1.0,2029,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.02032886448238358
ML-1M,AdaptivePenalty,0.9,10,1.0,2029,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03846109701565936
ML-1M,Primal-Dual,0.9,10,1.0,2029,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,7.485608572643798e-05
ML-20M,QuotaGate-U,0.9,10,1.0,2025,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04134474533557891,0.6469363181307912,9.814320867061616,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,2025,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008671907927989948,0.612649835331738,9.788643401622773,0.025677465438842972
ML-20M,WBEThreshold,0.9,10,1.0,2025,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008129674768447863,0.6129919782474637,9.788894203853607,0.025426663208008904
ML-20M,Penalty,0.9,10,1.0,2025,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018151524472237668
ML-20M,AdaptivePenalty,0.9,10,1.0,2025,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019496778941155313
